site_id,latitude,longitude,ocean_name,realm_name,ecoregion_name,country_name,state_name,city_town_name,site_name,reef_id,distance_to_shore_km,exposure,turbidity,cyclone_frequency,depth_mean_m,observed_record_count,observed_positive_count,latest_observed_date,first_observed_date,provenance_source_count,provenance_sources,mean_label_quality_score,display_name
12064,24.4439,-81.9616,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8552.0,Exposed,0.0583,56.58,11.6,1,1,2015-08-25,2015-08-25,1,"[""FRRP""]",0.87,Monroe County
12065,24.444,-81.9692,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8551.0,Exposed,0.0583,56.58,11.6,1,1,2008-10-10,2008-10-10,1,"[""FRRP""]",0.87,Monroe County
13120,25.002,-80.3945,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,7590.0,Exposed,0.1005,60.51,8.4,1,1,2009-09-17,2009-09-17,1,"[""FRRP""]",0.87,Monroe County
13357,25.238,-80.2682,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4398.0,Sheltered,0.1769,56.55,2.1,1,1,2009-08-04,2009-08-04,1,"[""FRRP""]",0.87,Monroe County
13328,25.216,-80.286,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4128.0,Sheltered,0.1769,56.55,2.65,2,2,2010-05-18,2010-02-03,1,"[""FRRP""]",0.87,Monroe County
13117,25.0003,-80.4395,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,6040.0,Exposed,0.1711,60.51,3.8,1,1,2012-09-18,2012-09-18,1,"[""FRRP""]",0.87,Monroe County
9226,24.6091,-82.9518,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,3546.97,Exposed,0.0709,51.47,10.2,1,1,2004-10-15,2004-10-15,1,"[""Donner""]",0.87,Monroe County
9225,24.6206,-82.9203,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,958.66,Sheltered,0.0709,51.47,8.2,1,1,2004-10-15,2004-10-15,1,"[""Donner""]",0.87,Monroe County
9224,24.6429,-82.931,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,1458.27,Exposed,0.071,51.47,8.6,1,1,2004-10-15,2004-10-15,1,"[""Donner""]",0.87,Monroe County
9223,24.6129,-82.9429,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,2554.17,Exposed,0.0709,51.47,10.7,1,1,2004-10-15,2004-10-15,1,"[""Donner""]",0.87,Monroe County
13349,25.2341,-80.2183,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8986.0,Exposed,0.1047,56.55,3.8,1,1,2008-09-16,2008-09-16,1,"[""FRRP""]",0.87,Monroe County
9222,24.7263,-82.7954,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,12970.91,Exposed,0.063,47.43,16.3,1,1,2004-10-15,2004-10-15,1,"[""Donner""]",0.87,Monroe County
13115,24.9992,-80.4231,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,6226.0,Exposed,0.0704,62.54,5.5,1,1,2016-09-21,2016-09-21,1,"[""FRRP""]",0.87,Monroe County
9221,24.6681,-82.8871,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4503.02,Sheltered,0.0738,47.43,7.4,1,1,2004-10-15,2004-10-15,1,"[""Donner""]",0.87,Monroe County
9220,24.6658,-82.8735,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,3971.01,Sheltered,0.0847,71.57,6.4,1,1,2004-10-15,2004-10-15,1,"[""Donner""]",0.87,Monroe County
12085,24.4515,-81.8791,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9408.0,Exposed,0.0571,56.58,7.6,1,1,2011-09-28,2011-09-28,1,"[""FRRP""]",0.87,Monroe County
12086,24.4517,-81.8798,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9362.0,Exposed,0.057100000000000005,56.580000000000005,10.0,3,3,2016-03-03,2015-02-12,1,"[""FRRP""]",0.87,Monroe County
12087,24.452,-81.8775,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9433.0,Exposed,0.0571,56.58,4.4,1,1,2007-09-23,2007-09-23,1,"[""FRRP""]",0.87,Monroe County
13350,25.2356,-80.2615,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,5118.0,Sheltered,0.1769,56.55,3.4,1,1,2013-09-10,2013-09-10,1,"[""FRRP""]",0.87,Monroe County
13351,25.2371,-80.2678,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4493.0,Sheltered,0.1769,56.55,1.55,2,2,2010-05-18,2010-02-09,1,"[""FRRP""]",0.87,Monroe County
12088,24.452,-81.8775,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9427.0,Exposed,0.0571,56.58,5.449999999999999,2,2,2015-09-30,2015-02-12,1,"[""FRRP""]",0.87,Monroe County
13352,25.2372,-80.2588,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,5251.0,Sheltered,0.1769,56.55,3.0,1,1,2014-10-15,2014-10-15,1,"[""FRRP""]",0.87,Monroe County
13353,25.2372,-80.2104,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9391.0,Exposed,0.1047,56.55,6.8,1,1,2008-09-16,2008-09-16,1,"[""FRRP""]",0.87,Monroe County
13354,25.2376,-80.2048,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9349.0,Exposed,0.0498,56.55,10.4,1,1,2008-09-16,2008-09-16,1,"[""FRRP""]",0.87,Monroe County
12089,24.4521,-81.8773,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9428.0,Exposed,0.0571,56.58,5.0,1,1,2016-03-03,2016-03-03,1,"[""FRRP""]",0.87,Monroe County
13355,25.2379,-80.2583,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,5258.0,Sheltered,0.1769,56.55,2.6,1,1,2011-08-09,2011-08-09,1,"[""FRRP""]",0.87,Monroe County
12090,24.4523,-81.8834,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9139.49,Exposed,0.0571,56.58,9.4,1,0,2006-02-23,2006-02-23,1,"[""FRRP""]",0.87,Monroe County
13356,25.238,-80.2663,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4571.0,Sheltered,0.1769,56.55,2.0,1,1,2008-09-15,2008-09-15,1,"[""FRRP""]",0.87,Monroe County
12091,24.4524,-81.8765,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9435.0,Exposed,0.0571,56.58,5.8,1,1,2007-09-23,2007-09-23,1,"[""FRRP""]",0.87,Monroe County
12092,24.4524,-81.8834,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9146.0,Exposed,0.0571,56.58,10.2,1,1,2005-09-12,2005-09-12,1,"[""FRRP""]",0.87,Monroe County
12093,24.4525,-81.8754,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9471.0,Exposed,0.0571,56.58,6.1,1,0,2008-10-08,2008-10-08,1,"[""FRRP""]",0.87,Monroe County
12084,24.4514,-81.88,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,9396.0,Exposed,0.0571,56.58,10.7,1,1,2007-09-23,2007-09-23,1,"[""FRRP""]",0.87,Monroe County
13329,25.2164,-80.2862,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4085.0,Sheltered,0.1769,56.55,3.2,1,1,2009-08-04,2009-08-04,1,"[""FRRP""]",0.87,Monroe County
13348,25.2337,-80.2613,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,5307.0,Sheltered,0.1769,56.55,3.0,1,1,2007-09-18,2007-09-18,1,"[""FRRP""]",0.87,Monroe County
12082,24.4511,-81.9229,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,8311.0,Exposed,0.0586,56.58,8.3,1,1,2009-08-27,2009-08-27,1,"[""FRRP""]",0.87,Monroe County
13330,25.2168,-80.2868,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,3793.0,Sheltered,0.1769,56.55,2.4,1,1,2007-09-19,2007-09-19,1,"[""FRRP""]",0.87,Monroe County
13331,25.2198,-80.2109,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10413.0,Exposed,0.1047,56.55,4.7,1,1,2011-08-30,2011-08-30,1,"[""FRRP""]",0.87,Monroe County
13332,25.2202,-80.211,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10363.0,Exposed,0.1047,56.55,2.8,1,1,2014-09-17,2014-09-17,1,"[""FRRP""]",0.87,Monroe County
13333,25.2214,-80.28,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,4097.0,Sheltered,0.1769,56.55,1.6,1,1,2010-05-18,2010-05-18,1,"[""FRRP""]",0.87,Monroe County
13334,25.2217,-80.2101,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10370.0,Exposed,0.1047,56.55,4.3,1,1,2009-08-04,2009-08-04,1,"[""FRRP""]",0.87,Monroe County
9235,24.6304,-82.9498,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,2534.34,Exposed,0.071,51.47,12.2,1,1,2004-10-15,2004-10-15,1,"[""Donner""]",0.27,Monroe County
13335,25.222,-80.2101,Atlantic,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,,,10340.0,Exposed,0.1047,56.55,7.3,1,1,2007-09-28,2007-09-28,1,"[""FRRP""]",0.87,Monroe County
