site_id,date,reason
1809,2006-05-10,missing_observed_percent_bleaching
1809,2008-05-28,missing_observed_percent_bleaching
1810,1987-08-15,missing_observed_percent_bleaching
1831,2005-10-15,missing_observed_percent_bleaching
1865,1999-06-15,missing_observed_percent_bleaching
1866,1999-06-15,missing_observed_percent_bleaching
1867,1999-06-15,missing_observed_percent_bleaching
1868,1999-06-15,missing_observed_percent_bleaching
1869,1999-06-15,missing_observed_percent_bleaching
1870,1999-06-15,missing_observed_percent_bleaching
1871,1999-06-15,missing_observed_percent_bleaching
1872,1999-06-15,missing_observed_percent_bleaching
1873,1999-06-15,missing_observed_percent_bleaching
1874,1999-06-15,missing_observed_percent_bleaching
1875,2000-06-15,missing_observed_percent_bleaching
1876,2000-06-15,missing_observed_percent_bleaching
1877,2000-06-15,missing_observed_percent_bleaching
1878,2000-06-15,missing_observed_percent_bleaching
1879,2000-06-15,missing_observed_percent_bleaching
1880,2000-06-15,missing_observed_percent_bleaching
1881,2000-06-15,missing_observed_percent_bleaching
1892,1987-09-15,missing_observed_percent_bleaching
1893,1987-09-15,missing_observed_percent_bleaching
1896,1997-08-20,missing_observed_percent_bleaching
1940,2010-05-15,missing_observed_percent_bleaching
1943,2001-04-28,missing_observed_percent_bleaching
1944,2010-05-24,missing_observed_percent_bleaching
1945,2010-05-20,missing_observed_percent_bleaching
1946,2009-08-31,missing_observed_percent_bleaching
1990,2010-05-15,missing_observed_percent_bleaching
2054,1998-07-01,missing_observed_percent_bleaching
2055,1997-07-26,missing_observed_percent_bleaching
2071,2000-11-14,missing_observed_percent_bleaching
2072,2000-11-13,missing_observed_percent_bleaching
2073,2002-01-12,missing_observed_percent_bleaching
2074,2000-11-13,missing_observed_percent_bleaching
2075,2002-01-16,missing_observed_percent_bleaching
2076,2000-11-14,missing_observed_percent_bleaching
2078,2001-07-27,missing_observed_percent_bleaching
2079,1998-09-05,missing_observed_percent_bleaching
2080,1997-08-10,missing_observed_percent_bleaching
2080,1999-07-10,missing_observed_percent_bleaching
2081,1998-08-22,missing_observed_percent_bleaching
2081,2001-06-23,missing_observed_percent_bleaching
2082,2001-09-22,missing_observed_percent_bleaching
2083,2000-09-23,missing_observed_percent_bleaching
2084,1997-07-27,missing_observed_percent_bleaching
2084,1998-09-27,missing_observed_percent_bleaching
2085,2001-08-12,missing_observed_percent_bleaching
2086,2002-09-08,missing_observed_percent_bleaching
2087,2012-09-23,missing_observed_percent_bleaching
2088,2001-08-11,missing_observed_percent_bleaching
2089,2001-09-02,missing_observed_percent_bleaching
2090,2010-08-01,missing_observed_percent_bleaching
2091,2004-07-31,missing_observed_percent_bleaching
2092,1997-08-31,missing_observed_percent_bleaching
2092,2001-06-24,missing_observed_percent_bleaching
2093,1997-08-15,missing_observed_percent_bleaching
2093,1998-09-20,missing_observed_percent_bleaching
2093,2001-10-05,missing_observed_percent_bleaching
2094,2001-09-22,missing_observed_percent_bleaching
2095,2001-08-18,missing_observed_percent_bleaching
2096,2001-08-25,missing_observed_percent_bleaching
2097,2001-10-11,missing_observed_percent_bleaching
2098,2001-10-05,missing_observed_percent_bleaching
2098,2010-08-04,missing_observed_percent_bleaching
2099,2002-08-18,missing_observed_percent_bleaching
2100,2004-08-08,missing_observed_percent_bleaching
2101,2001-09-02,missing_observed_percent_bleaching
2102,2004-09-25,missing_observed_percent_bleaching
2103,1998-09-24,missing_observed_percent_bleaching
2104,1997-06-22,missing_observed_percent_bleaching
2104,1998-08-28,missing_observed_percent_bleaching
2104,2001-09-16,missing_observed_percent_bleaching
2104,2002-08-02,missing_observed_percent_bleaching
2105,2006-09-09,missing_observed_percent_bleaching
2106,2001-07-28,missing_observed_percent_bleaching
2107,2001-09-12,missing_observed_percent_bleaching
2108,2001-09-12,missing_observed_percent_bleaching
2185,1999-09-05,missing_observed_percent_bleaching
2186,1998-09-28,missing_observed_percent_bleaching
2187,1998-09-27,missing_observed_percent_bleaching
2188,1999-09-04,missing_observed_percent_bleaching
2189,1998-04-26,missing_observed_percent_bleaching
2191,1997-08-17,missing_observed_percent_bleaching
2192,1997-08-18,missing_observed_percent_bleaching
2192,1998-08-29,missing_observed_percent_bleaching
2193,1999-07-18,missing_observed_percent_bleaching
2193,2000-09-12,missing_observed_percent_bleaching
2194,1999-07-18,missing_observed_percent_bleaching
2197,2000-09-23,missing_observed_percent_bleaching
2198,2000-09-23,missing_observed_percent_bleaching
2199,1998-09-06,missing_observed_percent_bleaching
2200,2000-09-23,missing_observed_percent_bleaching
2201,2000-09-23,missing_observed_percent_bleaching
2202,1998-09-19,missing_observed_percent_bleaching
2203,2000-09-17,missing_observed_percent_bleaching
2203,2002-12-15,missing_observed_percent_bleaching
2204,1999-09-19,missing_observed_percent_bleaching
2205,2000-09-17,missing_observed_percent_bleaching
2205,2001-12-16,missing_observed_percent_bleaching
